keywords,label,word_label_count,freq
Space and Missile Systems Center,org,224.0,224
SpaceIL,org,20.0,139
SpaceLink,satellite,9.0,100
SpaceNews,org,473.0,849
SpaceNews magazine,org,622.0,622
SpaceShipTwo,satellite,362.0,397
SpaceX,com,9694.0,9694
SpaceX.,com,289.0,289
Spacecom,org,37.0,231
Spaceflight,com,233.0,329
Spaceport America,loc,166.0,168
Spain,loc,199.0,199
Spanish,loc,166.0,167
Speedcast,com,196.0,199
Spire,com,546.0,577
Spire Global,com,127.0,135
Starliner,satellite,401.0,404
Starlink,satellite,1493.0,1990
Starship,rocket,18.0,859
State Department,org,106.0,106
Strategic Command,org,138.0,138
Stratolaunch,com,201.0,213
Swarm,com,141.0,187
TAMPA,loc,190.0,190
TESS,satellite,109.0,110
Telesat,com,1095.0,1101
Telesat LEO,com,33.0,110
Telespazio,com,106.0,106
Terran 1,satellite,70.0,134
Terran Orbital,com,208.0,208
Texas,loc,433.0,434
Thales Alenia Space,com,641.0,642
That,term,138.0,139
Thompson,com,100.0,103
Thuraya,satellite,4.0,155
Tiangong,satellite,104.0,166
Tianhe,com,65.0,196
Transport Layer,term,106.0,108
Trump,term,312.0,384
Trump administration,org,412.0,418
U.K.,loc,943.0,943
U.S.,loc,10012.0,10018
U.S. Air Force,org,250.0,250
U.S. Space Command,org,214.0,214
U.S. Space Force,org,279.0,279
U.S.-based,loc,182.0,182
UAE,loc,183.0,183
UK,loc,276.0,276
ULA,com,1519.0,1527
US,loc,101.0,101
Ukraine,loc,908.0,908
Ukrainian,loc,177.0,177
Umbra,com,117.0,119
United Arab Emirates,loc,130.0,130
United Kingdom,loc,367.0,367
United Launch Alliance,com,829.0,829
United Nations,org,120.0,121
United States,loc,2954.0,2956
VIPER,term,32.0,105
Vandenberg,loc,163.0,173
Vandenberg Air Force Base,loc,260.0,265
Vandenberg Space Force Base,loc,98.0,104
Vector,com,234.0,245
Vega,rocket,200.0,547
Vega C,rocket,115.0,346
Venus,loc,90.0,135
ViaSat,com,170.0,173
ViaSat-3,satellite,227.0,240
Viasat,com,1091.0,1098
Vigoride,satellite,105.0,133
Virgin Galactic,com,928.0,928
Virgin Orbit,com,1037.0,1069
Virginia,loc,244.0,244
Voyager,com,128.0,150
Vulcan,rocket,176.0,610
Vulcan Centaur,satellite,98.0,212
WASHINGTON,loc,874.0,878
WFIRST,term,97.0,249
WGS,satellite,80.0,217
Washington,loc,271.0,272
We,loc,53.0,330
Wenchang,loc,160.0,178
White House,org,945.0,952
Wi-Fi,term,136.0,136
Wilson,com,133.0,140
World View,com,116.0,120
WorldView Legion,satellite,43.0,112
Yahsat,com,168.0,185
York,com,158.0,167
York Space Systems,com,114.0,114
additive manufacturing,term,119.0,119
agency,org,176.0,176
altitude,term,109.0,109
artificial intelligence,term,264.0,264
budget,term,442.0,442
climate change,term,104.0,104
commercial,term,244.0,266
commercial space,term,121.0,125
cost,term,1785.0,1785
costs,term,482.0,482
cubesats,satellite,71.0,135
cybersecurity,term,127.0,127
electric propulsion,term,171.0,173
engine,term,170.0,170
engines,term,103.0,103
expensive,term,138.0,140
funding,term,158.0,158
geostationary,satellite,126.0,166
geostationary orbit,term,498.0,498
geostationary satellites,term,114.0,119
geostationary transfer orbit,term,160.0,160
geosynchronous orbit,term,144.0,144
government,org,573.0,576
iSpace,org,5.0,224
imagery,term,111.0,111
in,satellite,16.0,128
international,loc,88.0,111
ispace,org,20.0,113
launch,term,176.0,190
launch vehicle,rocket,57.0,102
liquid oxygen,term,154.0,158
low Earth orbit,term,2453.0,2456
low-Earth orbit,term,258.0,258
lunar orbit,term,134.0,134
machine learning,term,130.0,130
medium Earth orbit,term,162.0,162
microgravity,term,141.0,141
military,org,139.0,243
money,term,136.0,136
national security,term,555.0,555
orbit,term,349.0,349
orbital debris,term,131.0,131
pandemic,term,123.0,123
price,term,211.0,211
propulsion,term,118.0,121
radar,term,232.0,238
regulatory,term,155.0,155
remote sensing,term,136.0,137
risk,term,184.0,184
rocket,term,138.0,286
satellite,term,212.0,384
satellite communications,term,153.0,153
satellite operators,term,84.0,112
satellites,term,156.0,304
small satellites,term,93.0,140
smallsat,satellite,81.0,131
software,term,195.0,195
solar system,term,71.0,114
space,term,402.0,432
space industry,term,153.0,153
spacecraft,term,185.0,335
sun-synchronous orbit,term,197.0,197
synthetic aperture radar,satellite,7.0,236
technical,term,196.0,196
technology,term,431.0,432
time,term,217.0,218
weather,term,145.0,146
